"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Dan Reed","5.10",165,"Plymouth Whalers",1984-08-27,1,2,2,1,8.63,0,0,0,0,0,0,0,0,0,0,0
"Jeff Johnston","5.11",175,"Kitchener Rangers",1982-11-28,2,53,55,0.964,38.23,2,1.39,0,0,0,0,0,0,0,0,0
"Matt Harpwood","6.00",175,"Kitchener Rangers",1983-07-21,15,394,423,0.931,31.57,29,2.16,3,6,7,0,7,0,0,0,2
"Peter Budaj","6.01",190,"Toronto St. Michael's Majors",1982-09-18,42,1148,1237,0.928,31.86,89,2.29,2,26,8,1,9,0,0,0,0
"Jason Bacashihua","6.00",168,"Plymouth Whalers",1982-09-20,46,1321,1426,0.926,31.83,105,2.34,5,26,10,2,12,0,0,0,4
"Paul Drew","5.10",199,"Plymouth Whalers",1983-11-20,26,685,746,0.918,30.72,61,2.51,0,13,5,0,5,0,0,0,2
"David Chant","6.00",188,"Barrie Colts",1981-03-26,47,1370,1481,0.925,34.72,111,2.6,3,25,10,0,10,0,0,0,4
"Andy Chiodo","6.00",195,"Toronto St. Michael's Majors",1983-04-25,33,909,988,0.92,33.99,79,2.72,2,14,10,0,10,0,0,0,9
"Ray Emery","6.02",200,"Sault Ste. Marie Greyhounds",1982-09-28,59,1847,2005,0.921,34.59,158,2.73,4,33,17,0,17,0,0,0,21
"Scott Dickie","5.10",185,"Kitchener Rangers",1982-12-16,57,1696,1849,0.917,34.15,153,2.83,3,29,15,1,16,0,0,0,12
"Chris Houle","6.03",197,"London Knights",1982-09-09,31,952,1038,0.917,34.3,86,2.84,0,13,10,1,11,0,0,0,0
"Eric Tobia","6.00",180,"Belleville Bulls",1984-06-21,5,140,153,0.915,33.62,13,2.86,0,1,4,0,4,0,0,0,0
"T.J. Aceti","6.00",198,"Erie Otters",1982-06-13,38,1046,1147,0.912,33.53,101,2.95,2,18,12,1,13,0,0,0,6
