"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Dan Turple","6.05",230,"Kitchener Rangers",1985-01-01,57,1516,1640,0.924,29.76,124,2.25,7,40,15,1,16,2,1,1,8
"Dan LaCosta","6.03",195,"Barrie Colts",1986-03-28,59,1533,1675,0.915,30.09,142,2.55,6,36,17,1,18,5,2,3,2
"Ryan MacDonald","5.09",183,"Guelph Storm",1985-04-29,57,1369,1510,0.907,27.52,141,2.57,4,35,15,1,16,5,2,3,12
"Trevor Cann","5.11",190,"Peterborough Petes",1989-03-30,20,588,640,0.919,32.66,52,2.65,1,16,2,0,2,2,0,2,2
"Mark Packwood","5.10",188,"Kitchener Rangers",1988-08-10,16,356,391,0.91,29.67,35,2.66,0,7,4,0,4,0,0,0,2
"Steve Mason","6.03",190,"London Knights",1988-05-29,12,299,321,0.931,38.76,22,2.66,0,5,3,0,3,0,0,0,0
"Anthony Guadagnolo","5.11",185,"Windsor Spitfires",1986-01-27,48,1412,1541,0.916,32.85,129,2.75,5,27,14,3,17,5,2,3,12
"Kyle Gajewski","5.11",162,"Sault Ste. Marie Greyhounds",1987-03-29,64,1647,1821,0.904,29.49,174,2.82,3,29,23,3,26,8,3,5,4
"Adam Dennis","6.00",175,"London Knights",1985-02-08,57,1745,1907,0.915,33.22,162,2.82,1,44,9,1,10,8,5,3,35
"Mark Kubicz","5.10",188,"Toronto St. Michael's Majors",1987-09-27,4,88,95,0.926,38.73,7,2.85,0,1,1,0,1,1,1,0,0
"David Shantz","6.01",190,"Peterborough Petes",1986-05-05,49,1512,1653,0.915,33.67,141,2.87,2,31,14,2,16,2,1,1,6
"Michael Ouzas","5.10",189,"Owen Sound Attack",1985-08-30,58,1683,1844,0.913,33.61,161,2.93,4,22,31,2,33,1,0,1,7
"Kevin Beech","6.04",177,"Sudbury Wolves",1986-09-23,63,1739,1920,0.906,31.22,181,2.94,0,33,25,1,26,11,7,4,8
"Daren Machesney","6.00",177,"Brampton Battalion",1986-12-13,49,1408,1551,0.908,32.88,143,3.03,3,28,17,1,18,7,5,2,10
"Kevin Lalande","6.00",185,"Belleville Bulls",1987-02-19,50,1550,1693,0.916,36.43,143,3.08,3,24,17,3,20,3,1,2,16
"Sebastian Dahm","5.10",180,"Belleville Bulls",1987-02-28,25,630,694,0.908,33.58,64,3.1,1,7,10,2,12,2,1,1,2
"Danny Taylor","6.01",185,"Kingston Frontenacs",1986-04-28,57,1761,1933,0.911,34.95,172,3.11,3,32,15,3,18,3,0,3,10
"Justin Peters","6.02",210,"Plymouth Whalers",1986-08-30,55,1726,1896,0.91,35.04,170,3.14,1,29,21,2,23,3,1,2,20
"Francois Thuot","6.00",160,"Saginaw Spirit",1985-05-02,43,1444,1580,0.914,37.41,136,3.22,1,20,20,2,22,1,1,0,14
"Danny Battochio","5.10",175,"Ottawa 67's",1985-12-21,55,1633,1802,0.906,34.72,169,3.26,3,24,20,5,25,3,0,3,18
"Andrew Perugini","6.00",180,"Barrie Colts",1988-07-12,14,356,399,0.892,31.41,43,3.38,0,7,4,0,4,0,0,0,4
"Ryan Nie","6.00",165,"Sarnia Sting",1985-04-15,51,1656,1825,0.907,37.05,169,3.43,1,18,26,1,27,7,2,5,8
"Bryan Pitton","6.02",176,"Brampton Battalion",1988-01-26,24,700,774,0.904,35.91,74,3.43,0,16,4,0,4,0,0,0,0
"Justin Garay","5.09",192,"Plymouth Whalers",1987-02-16,14,373,418,0.892,34.52,45,3.72,1,5,5,0,5,1,0,1,10
"Josh Disher","6.01",171,"Erie Otters",1985-06-24,54,1577,1769,0.891,34.57,192,3.75,0,21,25,3,28,5,2,3,8
"Andrew Loverock","6.03",189,"Mississauga IceDogs",1989-07-29,1,33,37,0.892,34.77,4,3.76,0,0,0,1,1,0,0,0,2
"Neil Conway","6.01",183,"Owen Sound Attack",1988-01-17,23,441,513,0.86,26.98,72,3.79,0,8,8,1,9,4,2,2,4
"Brady Morrison","6.00",175,"Ottawa 67's",1987-04-15,19,484,545,0.888,33.85,61,3.79,0,5,10,0,10,0,0,0,4
"Jason Guy","6.00",173,"Guelph Storm",1988-07-19,17,371,424,0.875,31.14,53,3.89,0,5,9,0,9,0,0,0,0
