"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Karsen Chartier","6.03",183,"Sarnia Sting",2006-01-01,1,13,13,1,31.41,0,0,0,1,0,0,0,0,0,0,0
"Aleksei Medvedev","6.03",195,"London Knights",2007-09-10,1,16,16,1,32.73,0,0,0,0,0,0,0,0,0,0,0
"Logan Phillips","6.00",172,"Sarnia Sting",2004-05-24,1,6,6,1,18,0,0,0,0,0,0,0,0,0,0,0
"Ben West","6.03",156,"Barrie Colts",2003-04-04,2,36,36,1,36.12,0,0,0,0,0,0,0,0,0,0,0
"Carter George","6.02",195,"Owen Sound Attack",2006-05-20,3,57,59,0.966,28.93,2,0.98,0,1,0,0,0,0,0,0,0
"Dom DiVincentiis","6.03",200,"North Bay Battalion",2004-03-04,1,54,55,0.982,55,1,1,0,1,0,0,0,1,1,0,0
"Marcus Vandenberg","5.11",172,"Niagara IceDogs",2004-04-25,3,65,69,0.942,27.9,4,1.62,0,1,1,0,1,0,0,0,0
"Ethan Kowatsch","6.00",183,"Guelph Storm",2005-05-25,3,39,42,0.929,25.2,3,1.8,0,2,0,0,0,1,0,1,0
"Brayden Gillespie","5.11",172,"Guelph Storm",2005-07-23,3,63,68,0.926,25.5,5,1.88,0,2,0,0,0,0,0,0,0
"Mason Vaccari","5.11",184,"Kingston Frontenacs",2005-04-29,3,78,83,0.94,32.27,5,1.94,1,2,1,0,1,0,0,0,0
"Matteo Drobac","6.02",199,"Brantford Bulldogs",2003-08-07,2,71,75,0.947,37.5,4,2,0,2,0,0,0,0,0,0,0
"Collin MacKenzie","6.00",175,"Ottawa 67's",2004-11-30,2,67,71,0.944,36.08,4,2.03,0,1,1,0,1,0,0,0,0
"Owen Willmore","6.03",180,"London Knights",2004-12-14,3,56,60,0.933,30.56,4,2.04,0,2,0,0,0,0,0,0,0
"Jacob Gibbons","6.05",205,"Erie Otters",2006-11-23,3,61,66,0.924,28.29,5,2.14,0,3,0,0,0,0,0,0,0
"Ben Hrebik","6.03",210,"Barrie Colts",2006-04-04,1,15,16,0.938,34.43,1,2.15,0,1,0,0,0,1,1,0,0
"Kyle Downey","6.02",180,"Erie Otters",2004-03-04,5,40,45,0.889,19.94,5,2.22,0,0,1,0,1,0,0,0,0
"Charlie Burns","6.01",177,"Niagara IceDogs",2006-01-29,2,22,24,0.917,28.95,2,2.41,0,1,0,0,0,0,0,0,0
"Nick Surzycia","6.00",170,"Sarnia Sting",2004-12-17,4,95,103,0.922,31.67,8,2.46,0,3,0,0,0,0,0,0,0
"Jackson Parsons","6.02",202,"Kitchener Rangers",2004-11-23,4,88,97,0.907,26.69,9,2.48,0,3,1,0,1,1,1,0,0
"Carter Froggett","6.04",215,"Windsor Spitfires",2006-04-07,1,36,39,0.923,39,3,3,0,1,0,0,0,0,0,0,0
"Nolan Lalonde","6.02",197,"Erie Otters",2004-02-14,2,44,48,0.917,36,4,3,0,1,1,0,1,0,0,0,0
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,2,33,37,0.892,27.75,4,3,0,1,0,0,0,0,0,0,0
"Nate Krawchuk","6.02",180,"Sudbury Wolves",2005-07-04,3,63,69,0.913,34.91,6,3.04,0,0,1,0,1,1,0,1,0
"Ben Gaudreau","6.02",172,"Sarnia Sting",2003-01-11,1,30,33,0.909,33.7,3,3.06,0,0,1,0,1,0,0,0,0
"Nolan Chartrand","6.03",195,"Barrie Colts",2004-05-06,3,31,36,0.861,22.13,5,3.07,0,2,0,0,0,0,0,0,0
"Easton Rye","6.00",196,"Peterborough Petes",2006-10-28,4,68,75,0.907,34.42,7,3.21,0,2,0,0,0,1,1,0,0
"Zach Bowen","6.02",190,"London Knights",2005-04-25,2,33,38,0.868,25.29,5,3.33,0,0,2,0,2,0,0,0,0
"Ryerson Leenders","6.01",182,"Mississauga Steelheads",2006-06-01,3,86,96,0.896,32,10,3.33,0,1,1,0,1,1,0,1,0
"Brett Fullerton","6.04",200,"Saginaw Spirit",2004-06-25,2,26,31,0.839,20.69,5,3.34,0,0,1,0,1,0,0,0,0
