"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"David Goyette",2004-03-27,"C","Sudbury Wolves",1,1,0,1,1,33
"Gage Heyes",2004-04-21,"RW","Kingston Frontenacs",2,1,0,1,0.5,50
"Justin Cloutier",2005-06-20,"RW","Soo Greyhounds",3,1,0,1,0.33,25
"Kevin He",2006-04-30,"LW","Niagara IceDogs",5,1,0,1,0.2,20
"Kieran Witkowski",2007-02-07,"LW","Mississauga Steelheads",6,1,0,1,0.17,33
"Luke Misa",2005-11-25,"C","Mississauga Steelheads",6,1,0,1,0.17,12
"Matthew Poitras",2004-03-10,"C","Guelph Storm",4,1,0,1,0.25,17
"Ondrej Molnar",2005-02-08,"LW","Erie Otters",5,1,0,1,0.2,14
"Roberto Mancini",2003-07-08,"D","Saginaw Spirit",3,1,0,1,0.33,50
"Ryan McGuire",2004-02-29,"C","Guelph Storm",4,1,0,1,0.25,50
"Tomáš Hamara",2004-03-09,"LD","Kitchener Rangers",4,1,0,1,0.25,33
"William Stewart",2005-02-23,"RW","Niagara IceDogs",4,1,0,1,0.25,50
"Aiden Young",2007-04-18,"LW","Saginaw Spirit",4,0,1,1,0.25,33
"Ethan Czata",2007-05-29,"C","Niagara IceDogs",5,0,1,1,0.2,50
"Jordan D'Intino",2003-03-01,"LW","Soo Greyhounds",2,0,1,1,0.5,33
"Linus Hemström",2004-01-16,"RW","Kingston Frontenacs",5,0,1,1,0.2,50
"Luke McNamara",2005-03-02,"C","Saginaw Spirit",4,0,1,1,0.25,33
"Matthew Schaefer",2007-09-05,"D","Erie Otters",6,0,1,1,0.17,17
"Matthew Sop",2003-02-04,"C","Kitchener Rangers",6,0,1,1,0.17,10
"Mitchell Martin",2003-01-06,"LW","Kitchener Rangers",6,0,1,1,0.17,25
"Quentin Musty",2005-07-06,"LW","Sudbury Wolves",1,0,1,1,1,33
"Ryan Pryce",2004-02-06,"D","Sudbury Wolves",4,0,1,1,0.25,33
"Zackary Sandhu",2005-12-20,"D","Guelph Storm",6,0,1,1,0.17,50
"Adam Cavallin",2005-03-04,"C","Kingston Frontenacs",5,0,0,0,0,0
"Adam Zidlicky",2005-01-28,"LW","Mississauga Steelheads",3,0,0,0,0,0
"Adrian Manzo",2007-08-28,"D","Windsor Spitfires",4,0,0,0,0,0
"Adrian Misaljevic",2004-07-10,"RW","Kitchener Rangers",6,0,0,0,0,0
"Adrian Rebelo",2004-06-22,"LW","Brantford Bulldogs",5,0,0,0,0,0
"Adriano Tonin",2005-11-02,"LW","Windsor Spitfires",2,0,0,0,0,NA
"Aidan Castle",2004-01-08,"RW","Windsor Spitfires",5,0,0,0,0,0
