"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Taylor Edwards","6.00",160,"Mississauga St. Michaels Majors",1992-06-02,1,20,21,0.952,21.37,1,1.02,0,1,0,0,0,0,0,0,0
"Adam Wood","6.04",180,"Erie Otters",1993-07-15,1,8,9,0.889,20.81,1,2.31,0,0,1,0,1,0,0,0,0
"JP Anderson","6.00",195,"Mississauga St. Michaels Majors",1992-04-27,51,1163,1277,0.911,26.45,114,2.36,6,38,10,0,10,4,3,1,5
"Anthony Peters","6.01",196,"Mississauga St. Michaels Majors",1990-12-31,15,302,334,0.904,25.7,32,2.46,0,10,2,0,2,2,1,1,4
"Mark Visentin","6.02",201,"Niagara IceDogs",1992-08-07,46,1255,1369,0.917,30.26,114,2.52,4,30,9,2,11,7,3,4,10
"Mike Morrison","6.00",180,"Kitchener Rangers",1992-11-07,27,672,737,0.912,30.09,65,2.65,2,15,6,0,6,3,0,3,2
"Dalton McGrath","6.01",185,"Niagara IceDogs",1991-11-04,15,387,424,0.913,30.65,37,2.67,1,10,4,0,4,1,1,0,9
"Cody St. Jacques","5.11",180,"Brampton Battalion",1990-05-14,26,608,679,0.895,25.96,71,2.71,1,15,10,1,11,2,2,0,0
"Mickael Audette","5'11",185,"Mississauga St. Michaels Majors",1991-01-08,8,137,154,0.89,24.88,17,2.75,1,4,1,0,1,0,0,0,0
"Petr Mrazek","6.01",184,"Ottawa 67's",1992-02-14,52,1684,1830,0.92,35.54,146,2.84,4,33,15,1,16,6,4,2,2
"Ramis Sadikov","6.04",225,"Erie Otters",1991-02-26,58,1644,1802,0.912,32.81,158,2.88,2,36,17,1,18,4,3,1,6
"Tadeas Galansky","6.04",212,"Saginaw Spirit",1992-12-29,17,445,489,0.91,32.11,44,2.89,1,9,5,2,7,0,0,0,4
"Matej Machovsky","6.02",186,"Brampton Battalion",1993-07-25,23,600,664,0.904,30.12,64,2.9,1,7,13,0,13,3,1,2,2
"Scott Stajcer","6.03",196,"Owen Sound Attack",1991-06-14,14,347,385,0.901,29.52,38,2.91,1,10,3,0,3,0,0,0,0
"Mavric Parks","6.00",191,"Saginaw Spirit",1990-05-07,50,1511,1653,0.914,34.21,142,2.94,2,28,17,0,17,5,3,2,4
"Jake Paterson","6.01",183,"Saginaw Spirit",1994-05-03,5,147,162,0.907,32.05,15,2.97,0,3,0,2,2,0,0,0,2
"Scott Wedgewood","6.01",187,"Plymouth Whalers",1992-08-14,55,1500,1652,0.908,32.54,152,2.99,2,28,18,1,19,3,2,1,0
"Shayne Campbell","6.02",190,"Ottawa 67's",1992-11-16,15,410,453,0.905,32.02,43,3.04,0,8,4,2,6,0,0,0,2
"Jordan Binnington","6.02",169,"Owen Sound Attack",1993-07-11,46,1175,1307,0.899,30.21,132,3.05,1,27,12,1,13,5,1,4,8
"Matt Mahalak","6.02",186,"Plymouth Whalers",1993-01-22,21,535,589,0.908,33.57,54,3.08,1,8,8,1,9,3,0,3,0
"Malcolm Subban","6.02",201,"Belleville Bulls",1993-12-21,32,844,938,0.9,31.53,94,3.16,0,10,17,0,17,5,3,2,0
"Brandon Maxwell","6.01",199,"Kitchener Rangers",1991-03-22,46,1318,1460,0.903,33.07,142,3.22,1,23,15,4,19,3,1,2,8
"Michael Zador","6.02",173,"Owen Sound Attack",1991-05-08,31,723,814,0.888,28.92,91,3.23,0,19,5,1,6,3,2,1,0
"John Cullen","5.11",175,"Windsor Spitfires",1991-04-20,36,914,1017,0.899,31.95,103,3.24,2,15,14,2,16,1,1,0,0
"Michael Houser","6.02",192,"London Knights",1992-09-13,54,1608,1779,0.904,34.57,171,3.32,1,30,19,4,23,9,8,1,18
"Jacob Riley","6.01",170,"Sudbury Wolves",1993-03-18,31,683,772,0.885,30.57,89,3.52,0,7,11,0,11,5,0,5,0
"Brandon Foote","6.00",183,"Guelph Storm",1991-04-26,51,1481,1655,0.895,34.24,174,3.6,0,24,19,4,23,3,1,2,5
"Philipp Grubauer","6.00",170,"Kingston Frontenacs",1991-11-25,38,1259,1394,0.903,37.35,135,3.62,2,22,13,3,16,4,4,0,2
"Garret Sparks","6.02",213,"Guelph Storm",1993-06-28,19,477,536,0.89,33.09,59,3.64,0,8,6,0,6,2,1,1,0
"Alain Valiquette","6.03",186,"Sudbury Wolves",1990-12-21,58,1663,1854,0.897,35.79,191,3.69,1,27,24,2,26,2,1,1,6
"Kevin Bailie","6.03",195,"Oshawa Generals",1992-01-03,20,447,511,0.875,29.58,64,3.71,1,7,8,2,10,1,0,1,2
"Peter Di Salvo","6.00",196,"Oshawa Generals",1990-11-14,56,1797,2000,0.899,36.83,203,3.74,1,24,25,2,27,6,2,4,4
"Bryce O'Hagan","6.02",192,"Peterborough Petes",1991-12-27,41,1173,1309,0.896,35.98,136,3.74,0,12,23,1,24,0,0,0,4
"Matt Murray","6.05",171,"Sault Ste. Marie Greyhounds",1994-05-25,28,680,767,0.887,33.42,87,3.79,1,8,11,1,12,3,1,2,0
"Jack Campbell","6.02",199,"Windsor Spitfires",1992-01-09,45,1185,1340,0.884,32.85,155,3.8,0,24,14,2,16,6,4,2,2
"Chris Perugini","5.11",152,"Sault Ste. Marie Greyhounds",1991-02-06,46,1292,1460,0.885,34.38,168,3.96,1,17,21,4,25,2,1,1,0
"Troy Passingham","6.04",223,"Sarnia Sting",1990-11-17,41,1178,1329,0.886,36.18,151,4.11,0,18,15,3,18,2,0,2,2
"Igor Bobkov","6.06",210,"London Knights",1991-01-02,21,501,573,0.874,32.81,72,4.12,0,4,10,0,10,1,1,0,0
"Dennis Saikkonen","6.00",147,"Brampton Battalion",1992-11-27,13,221,260,0.85,27.52,39,4.13,0,4,6,0,6,1,1,0,0
"Franky Palazzese","6.01",160,"Kingston Frontenacs",1993-05-28,34,1003,1127,0.89,37.81,124,4.16,0,7,16,1,17,7,2,5,0
"Tyson Teichmann","6.00",146,"Belleville Bulls",1993-05-19,42,1190,1353,0.88,35.01,163,4.22,1,11,26,0,26,2,0,2,4
"Nathan Perry","6.00",165,"Kingston Frontenacs",1993-04-19,2,29,34,0.853,28.7,5,4.22,0,0,1,0,1,0,0,0,0
"Josh Malecki","5.10",200,"Barrie Colts",1993-03-28,8,62,74,0.838,26.69,12,4.33,0,0,2,0,2,0,0,0,2
