"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Cameron Lamour","6.02",153,"Saginaw Spirit",2000-07-01,4,64,71,0.901,22.46,7,2.21,0,1,2,0,2,0,0,0,0
"Michael McNiven","6.01",212,"Owen Sound Attack",1997-07-09,54,1311,1433,0.915,27,122,2.3,6,41,9,2,11,4,2,2,10
"Michael DiPietro","6.00",205,"Windsor Spitfires",1999-06-09,51,1272,1387,0.917,28.35,115,2.35,6,30,12,4,16,3,1,2,2
"Troy Timpano","6.00",202,"Erie Otters",1997-11-13,44,915,1016,0.901,23.83,101,2.37,4,36,8,0,8,1,1,0,2
"Tyler Parsons","6.01",193,"London Knights",1997-09-18,34,977,1056,0.925,31.68,79,2.37,4,23,6,2,8,3,0,3,2
"Matthew Villalta","6.04",186,"Sault Ste. Marie Greyhounds",1999-06-03,33,801,873,0.918,29.18,72,2.41,1,25,3,0,3,0,0,0,0
"Jordan Kooy","6.03",196,"London Knights",2000-04-30,11,265,286,0.927,33.34,21,2.45,0,8,2,0,2,1,1,0,0
"Joseph Murdaca","6.03",186,"Erie Otters",1998-03-21,19,420,465,0.903,25.85,45,2.5,2,13,3,0,3,2,1,1,0
"Chris McGonigle","6.02",214,"Kitchener Rangers",1998-09-19,3,119,127,0.937,42.55,8,2.68,1,1,2,0,2,0,0,0,0
"Jacob Ingham","6.04.",198,"Mississauga Steelheads",2000-06-10,31,729,804,0.907,28.85,75,2.69,2,17,6,3,9,4,1,3,0
"Jeremy Helvig","6.04",210,"Kingston Frontenacs",1997-05-25,59,1530,1686,0.907,29.35,156,2.72,6,29,22,4,26,5,2,3,2
"Anand Oberoi","6.05",196,"Erie Otters",1999-02-10,1,26,29,0.897,27.24,3,2.82,0,0,0,1,1,0,0,0,0
"Jeremy Brodeur","6.01",186,"Oshawa Generals",1996-10-29,51,1479,1614,0.916,34,135,2.84,2,33,14,1,15,5,3,2,0
"Mario Peccia","6.02",205,"Kingston Frontenacs",1999-09-21,13,220,250,0.88,23.97,30,2.88,0,4,4,1,5,1,0,1,0
"Mario Culina","6.02",184,"Windsor Spitfires",1997-06-12,21,517,575,0.899,29.15,58,2.94,0,11,7,1,8,1,0,1,0
"Riley Daniels","6.01",191,"Owen Sound Attack",1999-02-05,7,126,144,0.875,23.54,18,2.94,0,3,2,0,2,0,0,0,0
"Dawson Carty","6.04",182,"Hamilton Bulldogs",1996-02-02,45,1134,1261,0.899,30.29,127,3.05,1,25,12,1,13,4,2,2,0
"Dylan Wells","6.02",190,"Peterborough Petes",1998-01-03,52,1693,1848,0.916,36.64,155,3.07,1,33,15,2,17,5,3,2,0
"Emanuel Vella","6.04",195,"Owen Sound Attack",1998-08-08,13,273,311,0.878,25.41,38,3.1,1,8,3,0,3,1,0,1,2
"Scott Smith","6.05",196,"Peterborough Petes",1997-02-17,20,545,603,0.904,32.7,58,3.15,1,9,6,0,6,2,1,1,2
"Julian Sime","5.08",184,"North Bay Battalion",1998-03-13,21,527,586,0.899,31.7,59,3.19,2,3,13,0,13,1,0,1,2
"Trenton McGrail","6.02",237,"Hamilton Bulldogs",1998-11-04,1,6,7,0.857,22.38,1,3.2,0,0,0,1,1,0,0,0,0
"Kaden Fulcher","6.03",182,"Hamilton Bulldogs",1998-09-23,43,1051,1179,0.891,29.56,128,3.21,2,19,17,3,20,5,2,3,2
