"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Anthony Paolini","5.08",160,"Brampton Steelheads",2006-07-28,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0
"Reid Thomas","6.02",180,"Oshawa Generals",2007-06-07,1,20,21,0.952,25.18,1,1.2,0,0,1,0,1,0,0,0,0
"Danai Shaiikov","6'01",186,"Gatineau Olympiques",2007-04-13,1,30,32,0.938,32.88,2,2.05,0,0,1,0,1,0,0,0,0
"Ryder Fetterolf","6.00",186,"Ottawa 67's",2008-01-05,41,1013,1097,0.923,27.01,84,2.07,6,29,9,2,11,3,2,1,4
"Joey Costanzo","6.01",184,"Windsor Spitfires",2005-07-26,50,1005,1107,0.908,23.48,102,2.16,4,32,11,4,15,4,3,1,0
"Jaeden Nelson","6.01",195,"Ottawa 67's",2007-04-11,29,697,762,0.915,27.36,65,2.33,1,18,6,1,7,3,1,2,0
"Sebastian Gatto","6.04",185,"London Knights",2006-01-24,38,897,979,0.916,28.3,82,2.37,3,24,8,2,10,4,4,0,2
"Christian Kirsch","6.04",193,"Kitchener Rangers",2006-06-18,41,856,952,0.899,23.98,96,2.42,4,27,10,2,12,1,0,1,0
"Arvin Jaswal","6.02",178,"Barrie Colts",2008-03-29,24,705,765,0.922,31.24,60,2.45,2,18,3,2,5,5,4,1,0
"David Egorov","6.02",195,"Brantford Bulldogs",2006-05-18,29,832,904,0.92,31.22,72,2.49,4,21,4,3,7,0,0,0,0
"Jason Schaubel","6.00",165,"Kitchener Rangers",2008-08-30,28,638,711,0.897,25.79,73,2.65,1,20,3,3,6,2,1,1,0
"Ryerson Leenders","6.01",182,"Brantford Bulldogs",2006-06-01,39,1023,1124,0.91,29.99,101,2.69,2,27,5,4,9,4,2,2,6
"Mason Vaccari","5.11",184,"Flint Firebirds",2005-04-29,51,1353,1491,0.907,29.13,138,2.7,4,36,9,3,12,5,3,2,0
"Carter George","6.02",195,"Soo Greyhounds",2006-05-20,46,1174,1295,0.907,29.18,121,2.73,4,23,17,0,17,8,3,5,6
"Michael Newlove","6.02",187,"Windsor Spitfires",2007-01-14,23,459,518,0.886,24.2,59,2.76,2,12,4,2,6,2,0,2,2
"Easton Rye","6.00",196,"Peterborough Petes",2006-10-28,57,1687,1843,0.915,32.79,156,2.78,3,38,16,1,17,4,2,2,2
"Gavin Betts","6.00",186,"Kingston Frontenacs",2008-04-03,43,1080,1193,0.905,29.64,113,2.81,1,21,18,1,19,3,2,1,0
"Ben Hrebik","6.03",210,"Barrie Colts",2006-04-04,43,1395,1517,0.92,35,122,2.81,0,26,11,3,14,5,2,3,2
"Landon Miller","6.05",202,"Soo Greyhounds",2006-01-03,33,755,848,0.89,25.72,93,2.82,3,19,12,0,12,4,2,2,0
"Matthew Minchak","6.05",200,"Kingston Frontenacs",2007-05-23,30,818,899,0.91,32.35,81,2.91,1,12,12,2,14,1,0,1,0
"Mason Courville","6.01",185,"Flint Firebirds",2009-10-27,18,442,495,0.893,28.54,53,3.06,1,8,8,1,9,1,0,1,2
"Zach Bowen","6.02",190,"Brampton Steelheads",2005-04-25,47,1250,1391,0.899,31.01,141,3.14,1,18,24,3,27,3,1,2,2
"Aleksei Medvedev","6.03",195,"London Knights",2007-09-10,36,901,1011,0.891,30.01,110,3.26,0,16,15,2,17,1,0,1,2
"Paolo Frasca","5.10",218,"Sudbury Wolves",2006-09-03,18,490,544,0.901,33.58,54,3.33,0,8,10,0,10,0,0,0,0
"Zach Jovanovski","6.02",194,"Guelph Storm",2007-10-07,52,1347,1514,0.89,30.77,167,3.39,1,25,20,1,21,5,2,3,2
"Mike McIvor","6.01",182,"North Bay Battalion",2006-03-22,25,611,691,0.884,29.41,80,3.4,1,10,13,1,14,2,2,0,0
"Bjorn Bronas","6.01",188,"Sudbury Wolves",2007-02-25,27,691,773,0.894,32.47,82,3.44,0,12,10,1,11,2,2,0,0
"Vladislav Yermolenko","6.01",176,"Niagara IceDogs",2007-12-16,45,1247,1392,0.896,33.61,145,3.5,1,19,20,2,22,2,1,1,4
"Patrick Quinlan","6.01",188,"Sarnia Sting",2007-04-19,48,1003,1144,0.877,29.05,141,3.58,0,11,20,7,27,4,3,1,4
"Noah Tegelaar","6.05",177,"Erie Otters",2006-10-15,19,435,501,0.868,27.4,66,3.61,0,8,7,3,10,2,2,0,0
"Cole Vreugdenhil","6.03",197,"North Bay Battalion",2009-11-03,6,143,162,0.883,30.84,19,3.62,0,3,2,0,2,0,0,0,0
"Karsen Chartier","6.03",183,"Sudbury Wolves",2006-01-01,13,341,383,0.89,33.38,42,3.66,0,2,9,0,9,0,0,0,0
"Jaden Cholette","6.03",184,"Oshawa Generals",2006-01-30,43,1104,1245,0.887,32.8,141,3.71,2,14,22,0,22,1,0,1,2
"Luke Johnson","6.01",170,"Brampton Steelheads",2009-04-16,22,571,647,0.883,31.63,76,3.72,1,1,13,3,16,2,0,2,0
"Noah Erliden","5.11",183,"Erie Otters",2005-09-09,47,1368,1535,0.891,34.45,167,3.75,0,12,28,2,30,5,1,4,4
"Owen Leonard","6.01",185,"Sudbury Wolves",2009-05-19,10,223,255,0.875,30.08,32,3.77,0,2,4,1,5,0,0,0,0
"Matthew Humphries","6.04",195,"Oshawa Generals",2008-07-28,25,664,749,0.887,33.31,85,3.78,0,4,16,3,19,0,0,0,4
"Stepan Shurygin","6.05",215,"Saginaw Spirit",2007-08-26,59,1704,1920,0.888,33.71,216,3.79,0,24,27,3,30,5,1,4,6
"Alexandre Raymond","6.04",208,"Rouyn-Noranda Huskies",2007-11-13,1,29,33,0.879,32.13,4,3.9,0,0,0,1,1,0,0,0,0
"Trenten Bennett","6.08",220,"Owen Sound Attack",2006-04-01,27,768,857,0.896,37.88,89,3.93,0,9,10,1,11,1,0,1,0
"Mason Hriczov","6.02",190,"Kitchener Rangers",2009-03-14,1,15,19,0.789,19.68,4,4.14,0,0,1,0,1,0,0,0,0
"Samuel Meloche","6.03",199,"Rouyn-Noranda Huskies",2007-06-22,1,13,17,0.765,17.79,4,4.19,0,0,1,0,1,0,0,0,0
"Kale Osipenko","6.01",165,"Sarnia Sting",2008-10-07,15,328,381,0.861,30.59,53,4.26,0,5,9,0,9,0,0,0,0
"Matthew Koprowski","6.03",212,"Owen Sound Attack",2007-02-05,29,752,862,0.872,33.36,110,4.26,1,8,13,3,16,3,1,2,0
"Colin Ellsworth","6.01",186,"Guelph Storm",2008-12-03,21,484,561,0.863,31.35,77,4.3,0,3,14,1,15,0,0,0,0
"Charlie Burns","6.01",177,"Erie Otters",2006-01-29,22,440,514,0.856,31,74,4.46,0,5,9,1,10,0,0,0,2
"Evan Maillet","6.00",172,"Sarnia Sting",2006-03-17,15,335,392,0.855,31.09,57,4.52,0,4,8,0,8,0,0,0,0
"Masen Johnston","6.01",190,"Peterborough Petes",2007-02-08,12,333,386,0.863,35.57,53,4.88,0,2,7,0,7,1,0,1,2
"Peter Chlebowski","6.02",210,"Brampton Steelheads",2008-09-03,4,86,99,0.869,37.77,13,4.96,0,0,2,0,2,0,0,0,0
"Maksim Corovic","6.03",196,"Brantford Bulldogs",2008-05-20,2,48,58,0.828,28.84,10,4.97,0,0,1,1,2,0,0,0,0
"Kaleb Papineau","6.02",185,"Saginaw Spirit",2006-01-25,14,291,346,0.841,31.36,55,4.98,0,2,7,1,8,1,1,0,0
