"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Christopher Soares",2006-03-23,"LW","Guelph Storm",5,2,0,2,0.4,50
"Liam Storch",2006-01-20,"RW","Saginaw Spirit",5,2,0,2,0.4,67
"Alex Assadourian",2005-07-24,"RW","Barrie Colts",3,1,0,1,0.33,25
"Alexander Bilecki",2008-05-09,"LD","Kitchener Rangers",5,1,0,1,0.2,25
"Braidy Wassilyn",2008-05-28,"LW","Niagara IceDogs",1,1,0,1,1,50
"Cole Emerton",2008-03-04,"D","Barrie Colts",6,1,0,1,0.17,20
"Easton Walos",2008-12-28,"C","Sarnia Sting",5,1,0,1,0.2,33
"Hayden Reid",2006-06-21,"C","Flint Firebirds",3,1,0,1,0.33,33
"Kieren Dervin",2007-03-31,"C","Kingston Frontenacs",2,1,0,1,0.5,100
"Liam Greentree",2006-01-01,"LW","Windsor Spitfires",1,1,0,1,1,20
"Manuel Amado",2008-02-04,"C","Brampton Steelheads",6,1,0,1,0.17,33
"Max Delisle",2009-07-06,"C","Owen Sound Attack",5,1,0,1,0.2,33
"Noah Laus",2009-02-10,"C","Soo Greyhounds",4,1,0,1,0.25,20
"Rowan Henderson",2007-12-10,"LW","Sudbury Wolves",5,1,0,1,0.2,25
"Trevor Theuer",2008-02-12,"LW","Saginaw Spirit",6,1,0,1,0.17,100
"Ty Robar",2009-04-19,"C","Kingston Frontenacs",1,1,0,1,1,100
"Blake Arrowsmith",2007-04-17,"RW","Soo Greyhounds",4,0,1,1,0.25,100
"Blake Barnes",2006-07-31,"D","Niagara IceDogs",3,0,1,1,0.33,50
"Blake Clayton",2007-10-23,"C","Sudbury Wolves",5,0,1,1,0.2,25
"Brad Gardiner",2005-03-06,"C","Barrie Colts",3,0,1,1,0.33,33
"Calvin Crombie",2005-09-03,"RW","Barrie Colts",3,0,1,1,0.33,33
"Cameron Arquette",2007-04-27,"RW","Kitchener Rangers",5,0,1,1,0.2,25
"Charlie Murata",2009-02-15,"RW","Flint Firebirds",4,0,1,1,0.25,33
"Dima Zhilkin",2008-10-21,"RW","Saginaw Spirit",5,0,1,1,0.2,9
"Jacob Cloutier",2007-03-22,"RW","Saginaw Spirit",3,0,1,1,0.33,50
"James Barr",2007-06-01,"D","Sarnia Sting",4,0,1,1,0.25,33
"Luc Gauvreau",2007-08-08,"LW","Barrie Colts",3,0,1,1,0.33,100
"Ryan Brown",2007-10-27,"LW","Sarnia Sting",4,0,1,1,0.25,14
"A.J. Gladman",2009-01-19,"D","Erie Otters",2,0,0,0,0,NA
"Aaron Enright",2007-03-28,"D","North Bay Battalion",5,0,0,0,0,0
"Adam Benak",2007-04-10,"C","Brantford Bulldogs",1,0,0,0,0,0
"Adam Kelly",2008-09-19,"C","Kingston Frontenacs",3,0,0,0,0,NA
"Adam Levac",2008-06-27,"C","Peterborough Petes",3,0,0,0,0,0
"Adam Novotný",2007-11-13,"LW","Peterborough Petes",2,0,0,0,0,0
"Adam Whitehead",2007-12-06,"D","Guelph Storm",4,0,0,0,0,NA
"Adrian Manzo",2007-08-28,"D","North Bay Battalion",6,0,0,0,0,0
"Aiden Lee",2007-07-20,"RW","Kingston Frontenacs",1,0,0,0,0,0
"Aiden O'Donnell",2008-01-03,"LW","Brantford Bulldogs",6,0,0,0,0,0
"Aleks Kulemin",2009-03-20,"C","Kingston Frontenacs",4,0,0,0,0,0
"Aleksandr Sementsov",2009-08-25,"LW","Barrie Colts",5,0,0,0,0,0
"Alessandro Di Iorio",2008-03-17,"C","Sarnia Sting",2,0,0,0,0,0
"Alex Campeau",2009-03-23,"C","London Knights",4,0,0,0,0,NA
"Alex Forrest",2009-06-11,"D","Kitchener Rangers",5,0,0,0,0,0
"Alex Kostov",2006-06-03,"RW","Flint Firebirds",2,0,0,0,0,0
"Alex McLean",2008-08-08,"C","Guelph Storm",1,0,0,0,0,NA
"Alex Misiak",2007-06-22,"LW","Erie Otters",2,0,0,0,0,NA
"Alex Pharand",2005-01-05,"RW","Sudbury Wolves",1,0,0,0,0,NA
"Alexander Hage",2008-02-05,"RW","Niagara IceDogs",3,0,0,0,0,0
"Alexander Karmanov",2008-03-22,"D","Brantford Bulldogs",3,0,0,0,0,NA
"Andoni Fimis",2006-07-11,"D","London Knights",2,0,0,0,0,0
"André Mondoux",2007-03-16,"D","Kingston Frontenacs",3,0,0,0,0,NA
"Andrei Gudin",2008-07-04,"RW","Barrie Colts",3,0,0,0,0,NA
"Andrew Kuzma",2005-01-29,"C","Kingston Frontenacs",4,0,0,0,0,0
"Andrew MacNiel",2007-07-25,"RD","Kitchener Rangers",2,0,0,0,0,0
"Andrew Robinson",2008-01-08,"D","Windsor Spitfires",4,0,0,0,0,0
"Andrew Willis",2008-09-22,"D","Erie Otters",3,0,0,0,0,NA
"Andrew Wycisk",2005-07-01,"D","Niagara IceDogs",3,0,0,0,0,0
"Anthony Cristoforo",2006-02-23,"D","Windsor Spitfires",1,0,0,0,0,NA
"Anthony Figliomeni",2008-09-09,"RW","Oshawa Generals",5,0,0,0,0,NA
"Anthony Timmerman",2009-10-13,"D","Oshawa Generals",4,0,0,0,0,0
"Arseny Pronin",2007-05-16,"LW","North Bay Battalion",6,0,0,0,0,0
"Artem Frolov",2007-05-05,"D","Flint Firebirds",2,0,0,0,0,NA
"Artem Gonchar",2006-10-25,"D","Sudbury Wolves",2,0,0,0,0,0
"Austin Brekelmans",2008-03-08,"LW","North Bay Battalion",1,0,0,0,0,NA
"Avry Anstis",2008-03-05,"RW","Kitchener Rangers",5,0,0,0,0,0
"Beckham Edwards",2008-01-06,"C","Sarnia Sting",4,0,0,0,0,0
"Beksultan Makysh",2008-05-24,"LW","Windsor Spitfires",4,0,0,0,0,0
"Ben Bowen",2008-02-12,"LW","Barrie Colts",2,0,0,0,0,0
"Ben Cormier",2006-07-20,"C","Oshawa Generals",4,0,0,0,0,0
"Ben Pickell",2005-07-20,"LW","Kingston Frontenacs",3,0,0,0,0,NA
"Ben Radley",2007-07-29,"D","Brantford Bulldogs",4,0,0,0,0,0
"Ben Reisnecker",2008-02-21,"D","Niagara IceDogs",3,0,0,0,0,NA
"Ben Wilmott",2006-08-30,"C","London Knights",2,0,0,0,0,NA
"Blake Barnes",2008-05-14,"D","Saginaw Spirit",6,0,0,0,0,0
"Blake Gowan",2008-04-29,"D","Peterborough Petes",2,0,0,0,0,0
"Blake Munnings",2009-01-23,"LD","Owen Sound Attack",4,0,0,0,0,0
"Bode Stewart",2006-02-09,"LW","Barrie Colts",4,0,0,0,0,0
"Brady Blaseg",2008-07-21,"D","Oshawa Generals",6,0,0,0,0,0
"Brady Murnane",2008-04-23,"D","Oshawa Generals",5,0,0,0,0,NA
"Brady Smith",2008-04-13,"RW","Soo Greyhounds",3,0,0,0,0,0
"Brady Smith",2007-04-12,"C","Soo Greyhounds",2,0,0,0,0,0
"Brady Smith",2008-03-27,"D","Sudbury Wolves",3,0,0,0,0,NA
"Braedyn Rogers",2006-11-22,"RD","Owen Sound Attack",4,0,0,0,0,0
"Braiden Clark",2005-04-08,"C","London Knights",3,0,0,0,0,0
"Brandt Harper",2006-07-20,"D","North Bay Battalion",6,0,0,0,0,0
"Brayden Bennett",2009-02-05,"C","Sudbury Wolves",5,0,0,0,0,NA
"Brayden Krawczyk",2008-02-14,"C","Ottawa 67's",4,0,0,0,0,NA
"Braydon Bruce",2006-05-11,"D","Sudbury Wolves",1,0,0,0,0,NA
"Braydon McCallum",2006-05-03,"C","Peterborough Petes",3,0,0,0,0,0
"Brennan Faulkner",2005-12-28,"LW","Peterborough Petes",3,0,0,0,0,NA
"Brennan Huyck",2008-04-30,"RW","Oshawa Generals",4,0,0,0,0,0
"Brenner Lammens",2009-09-13,"C","Sarnia Sting",3,0,0,0,0,NA
"Brett Hammond",2006-09-08,"RW","Erie Otters",2,0,0,0,0,0
"Briir Long",2007-07-22,"LW","North Bay Battalion",4,0,0,0,0,NA
"Brock Chitaroni",2009-01-27,"C","Ottawa 67's",4,0,0,0,0,0
"Brody Cook",2007-04-06,"RW","London Knights",4,0,0,0,0,0
"Brody Najim",2008-07-16,"LW","Saginaw Spirit",5,0,0,0,0,NA
"Brody Partridge",2006-09-14,"C","Peterborough Petes",3,0,0,0,0,NA
"Brody Pepoy",2008-05-16,"RW","Saginaw Spirit",6,0,0,0,0,0
"Brooks Rogowski",2008-06-24,"RW","Oshawa Generals",5,0,0,0,0,0
"Bryson Morgan",2008-03-20,"C","Flint Firebirds",3,0,0,0,0,0
"Caden Harvey",2008-02-13,"RW","Windsor Spitfires",4,0,0,0,0,0
"Caden Kelly",2006-01-15,"RW","Ottawa 67's",2,0,0,0,0,0
"Caden Taylor",2007-03-31,"LW","Peterborough Petes",2,0,0,0,0,0
"Caleb Malhotra",2008-06-02,"C","Brantford Bulldogs",4,0,0,0,0,0
"Caleb Mitchell",2008-03-17,"D","London Knights",3,0,0,0,0,0
"Callan Newton",2008-01-02,"LW","Guelph Storm",1,0,0,0,0,0
"Callum Cheynowski",2006-08-04,"D","Niagara IceDogs",3,0,0,0,0,0
"Callum Croskery",2008-01-29,"D","Soo Greyhounds",3,0,0,0,0,0
"Callum Hughes",2006-01-22,"LW","Erie Otters",4,0,0,0,0,0
"Calum Hartnell",2007-06-08,"D","Peterborough Petes",3,0,0,0,0,NA
"Cam Warren",2009-05-07,"C","North Bay Battalion",6,0,0,0,0,0
"Camden McCuaig",2008-06-19,"LW","Kingston Frontenacs",3,0,0,0,0,0
"Cameron Aucoin",2007-03-20,"D","Sarnia Sting",4,0,0,0,0,0
"Camron Hankai",2007-03-22,"D","Brantford Bulldogs",5,0,0,0,0,0
"Candon O'Neill",2007-08-11,"D","Saginaw Spirit",4,0,0,0,0,NA
"Carson Andrew",2008-03-10,"LW","Soo Greyhounds",4,0,0,0,0,0
"Carson Cameron",2007-06-27,"D","Peterborough Petes",1,0,0,0,0,0
"Carson Hall",2006-04-29,"C","Sarnia Sting",4,0,0,0,0,0
"Carson Harmer",2007-01-13,"C","Saginaw Spirit",2,0,0,0,0,0
"Carson Woodall",2006-05-25,"D","Windsor Spitfires",1,0,0,0,0,0
"Carter Hicks",2008-02-20,"D","Windsor Spitfires",3,0,0,0,0,0
"Carter Kunopaski",2009-02-14,"D","North Bay Battalion",6,0,0,0,0,0
"Carter Lewandowski",2009-06-02,"C","Guelph Storm",2,0,0,0,0,NA
"Carter Lowe",2006-03-01,"LW","Barrie Colts",3,0,0,0,0,NA
"Carter Stevens",2008-01-11,"C","Guelph Storm",4,0,0,0,0,0
"Charlie Hilton",2006-09-15,"LW","Soo Greyhounds",4,0,0,0,0,0
"Charlie Hotles",2008-07-05,"C","Niagara IceDogs",4,0,0,0,0,0
"Charlie Paquette",2005-12-06,"RW","Guelph Storm",2,0,0,0,0,0
"Chase Coughlan",2005-06-17,"RW","Sudbury Wolves",4,0,0,0,0,0
"Chase Gaughan",2008-07-17,"RW","Sarnia Sting",2,0,0,0,0,NA
"Chase Hull",2007-04-28,"LW","Flint Firebirds",4,0,0,0,0,0
"Chase Reid",2007-12-30,"D","Soo Greyhounds",2,0,0,0,0,0
"Christian Colosimo",2008-12-01,"D","Flint Firebirds",2,0,0,0,0,0
"Christian Humphreys",2006-02-04,"C","Kitchener Rangers",2,0,0,0,0,0
"Christopher Brown",2006-01-27,"C","Soo Greyhounds",4,0,0,0,0,0
"Christopher Thibodeau",2005-10-13,"RW","Flint Firebirds",4,0,0,0,0,0
"Cody Wood",2008-06-13,"D","London Knights",2,0,0,0,0,NA
"Cohen Bidgood",2007-01-11,"RW","London Knights",3,0,0,0,0,0
"Cole Beaudoin",2006-04-24,"C","Barrie Colts",1,0,0,0,0,0
"Cole Cooksey",2005-02-18,"LW","Niagara IceDogs",4,0,0,0,0,0
"Cole Davis",2006-06-22,"LW","Windsor Spitfires",1,0,0,0,0,NA
"Cole Dubowsky",2007-06-11,"LW","Windsor Spitfires",2,0,0,0,0,0
"Cole Wreggitt",2008-07-13,"D","Sudbury Wolves",4,0,0,0,0,0
"Cole Zurawski",2008-02-06,"RW","Owen Sound Attack",4,0,0,0,0,0
"Colin Feeley",2008-03-07,"D","Oshawa Generals",6,0,0,0,0,0
"Colin Fitzgerald",2008-04-01,"C","Peterborough Petes",3,0,0,0,0,0
"Connor Bewick",2006-04-05,"D","Ottawa 67's",3,0,0,0,0,NA
"Conor Walton",2006-04-22,"D","Windsor Spitfires",2,0,0,0,0,NA
"Cooper Dennis",2007-05-07,"RW","Brantford Bulldogs",5,0,0,0,0,0
"Cooper Foster",2005-06-04,"C","Ottawa 67's",2,0,0,0,0,0
"Cooper McAslan",2009-03-16,"D","London Knights",1,0,0,0,0,NA
"Cruz Ferguson",2007-12-18,"LW","Saginaw Spirit",2,0,0,0,0,NA
"Daniel Berehowsky",2006-09-29,"RW","Sudbury Wolves",4,0,0,0,0,0
"Daniil Skvortsov",2007-01-13,"D","Guelph Storm",3,0,0,0,0,0
"Dante D'Andrea",2009-01-22,"D","Kingston Frontenacs",2,0,0,0,0,NA
"Darcy Dewachter",2007-03-01,"D","Niagara IceDogs",2,0,0,0,0,NA
"Darels Uljanskis",2006-08-25,"D","Flint Firebirds",2,0,0,0,0,0
