"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"David Bowen","6.00",152,"Sudbury Wolves",2000-11-15,2,56,59,0.949,29.19,3,1.48,1,2,0,0,0,0,0,0,0
"Peyton Grainer","6.01",166,"Flint Firebirds",2002-03-12,1,6,7,0.857,14.44,1,2.06,0,0,0,0,0,0,0,0,0
"Brett Brochu","6.00",176,"London Knights",2002-09-09,42,1033,1124,0.919,29.7,91,2.4,2,32,6,0,6,0,0,0,0
"Cedrick Andree","5.10",169,"Ottawa 67's",2000-06-07,43,1107,1209,0.916,28.68,102,2.42,4,32,9,0,9,4,3,1,0
"Nico Daws","6.04",202,"Guelph Storm",2000-12-22,38,1135,1228,0.924,32.69,93,2.48,5,23,8,3,11,7,4,3,2
"Hunter Jones","6.04.",198,"Peterborough Petes",2000-09-21,49,1370,1500,0.913,31.77,130,2.75,4,31,14,2,16,1,0,1,4
"Will Cranley","6.04",190,"Ottawa 67's",2002-02-26,21,481,538,0.894,26.51,57,2.81,4,18,2,0,2,0,0,0,2
"Mathias Onuska","6.03",180,"London Knights",2002-05-30,2,26,30,0.867,21.43,4,2.86,0,1,1,0,1,0,0,0,0
"Nick Chenard","6.04",212,"Owen Sound Attack",2002-03-29,13,330,363,0.909,31.7,33,2.88,1,6,4,0,4,1,0,1,0
"Jacob Ingham","6.04.",198,"Kitchener Rangers",2000-06-10,46,1501,1636,0.917,35.84,135,2.96,2,33,8,4,12,4,3,1,2
"Mack Guzda","6.05",205,"Owen Sound Attack",2001-01-11,51,1454,1616,0.9,31.68,162,3.18,2,24,20,4,24,5,2,3,2
"Zachary Paputsakis","6.03",196,"Oshawa Generals",2001-11-08,32,732,814,0.899,32.13,82,3.24,1,11,8,2,10,3,0,3,2
"Kai Edmonds","6.03",174,"Mississauga Steelheads",2000-07-27,54,1454,1624,0.895,31.13,170,3.26,2,25,23,3,26,4,3,1,0
"Bailey Brkin","6.02",172,"Soo Greyhounds",1999-05-29,31,732,827,0.885,29.35,95,3.37,0,17,8,2,10,1,0,1,7
"Dylan Myskiw","6.01",180,"London Knights",1999-02-20,23,509,571,0.891,31.27,62,3.4,1,12,6,0,6,0,0,0,0
"Daniel Murphy","6.01",192,"Erie Otters",2000-02-18,43,1142,1281,0.891,31.39,139,3.41,2,16,18,3,21,4,1,3,0
"Marshall Frappier","6.01",185,"Saginaw Spirit",2000-02-19,32,765,870,0.879,28.29,105,3.41,2,21,8,1,9,1,0,1,0
"Xavier Medina","6.00",174,"Windsor Spitfires",2002-01-20,37,913,1031,0.886,30.26,118,3.46,0,17,11,4,15,2,2,0,0
"Christian Purboo","6.03",203,"Sudbury Wolves",2000-07-01,45,963,1090,0.883,29.81,127,3.47,3,20,15,1,16,1,1,0,0
"Creed Jones","6.02",170,"Gatineau Olympiques",2000-05-31,2,50,57,0.877,28.78,7,3.53,0,0,2,0,2,0,0,0,2
"Anthony Popovich","6.02",197,"Flint Firebirds",1999-08-01,47,1400,1562,0.896,35.01,162,3.63,1,29,17,1,18,2,2,0,2
"Tristan Lennox","6.03",200,"Saginaw Spirit",2002-10-21,33,807,921,0.876,29.33,114,3.63,0,20,8,2,10,1,0,1,6
"Aidan Campbell","6.05",203,"Erie Otters",2002-08-22,26,565,648,0.872,28.48,83,3.65,1,10,8,1,9,5,1,4,0
"Lucas Pfeil","6.01",192,"Kitchener Rangers",2000-05-14,19,415,473,0.877,29.79,58,3.65,2,7,6,1,7,2,1,1,2
"Ethan Taylor","6.01",186,"Soo Greyhounds",2001-08-13,12,205,238,0.861,26.5,33,3.67,0,3,5,0,5,0,0,0,0
"Luke Cavallin","6.02",196,"Flint Firebirds",2001-04-29,20,572,639,0.895,35.14,67,3.68,0,11,4,0,4,1,0,1,0
"Kari Piiroinen","6.01",176,"Windsor Spitfires",2001-07-01,30,720,823,0.875,29.55,103,3.7,1,17,9,4,13,2,2,0,0
"Jordan Kooy","6.03",196,"Oshawa Generals",2000-04-30,32,921,1034,0.891,34.23,113,3.74,0,12,12,4,16,3,1,2,2
"Nick Malik","6.02",174,"Soo Greyhounds",2002-04-26,16,434,490,0.886,32.99,56,3.77,0,5,11,0,11,1,1,0,0
"Tucker Tynan","6.01",180,"Niagara IceDogs",2002-06-07,23,834,916,0.91,42.41,82,3.8,0,11,8,3,11,3,2,1,2
"Zachary Roy","5.11",175,"Hamilton Bulldogs",2001-02-09,33,899,1011,0.889,34.4,112,3.81,1,14,13,1,14,2,1,1,2
"Arturs Silovs","6.04",203,"Barrie Colts",2001-03-22,36,1075,1206,0.891,35.64,131,3.87,1,16,13,2,15,3,1,2,16
"Owen Bennett","6.03",202,"Guelph Storm",2002-04-11,27,741,841,0.881,32.95,100,3.92,0,9,15,0,15,2,0,2,0
"Tye Austin","6.06",200,"Peterborough Petes",2002-05-28,17,393,451,0.871,30.89,58,3.97,0,6,7,0,7,1,0,1,0
"Jet Greaves","6.00",170,"Barrie Colts",2001-03-30,33,940,1058,0.888,35.8,118,3.99,2,13,15,2,17,2,2,0,0
"Mitchell Weeks","6.03",187,"Sudbury Wolves",2001-06-22,30,678,776,0.874,31.87,98,4.02,0,12,12,0,12,1,0,1,0
"Ryan Dugas","6.01",194,"Kingston Frontenacs",2001-07-10,32,897,1016,0.883,35.32,119,4.14,1,10,18,0,18,2,2,0,4
"Joe Vrbetic","6.06",186,"North Bay Battalion",2002-10-24,42,1242,1409,0.881,35.66,167,4.23,2,14,25,1,26,0,0,0,4
"Ben Gaudreau","6.02",172,"Sarnia Sting",2003-01-11,28,823,925,0.89,39.37,102,4.34,0,10,13,1,14,2,1,1,4
"Marco Costantini","6.01",185,"Hamilton Bulldogs",2002-08-04,34,923,1057,0.873,34.25,134,4.34,0,10,15,6,21,2,2,0,2
"Andrew MacLean","6.02",206,"Niagara IceDogs",2001-06-28,39,1031,1190,0.866,33.92,159,4.53,0,13,21,1,22,1,0,1,2
"Christian Propp","6.02",192,"Kingston Frontenacs",1999-03-27,42,1074,1238,0.868,35.04,164,4.64,0,12,21,1,22,2,1,1,2
"Ethan Langevin","5.10",180,"Sarnia Sting",2001-05-25,36,1063,1221,0.871,37.66,158,4.87,0,9,18,4,22,0,0,0,0
"Nathan Torchia","5.10",185,"Kitchener Rangers",2000-05-12,2,39,49,0.796,24.5,10,5,0,0,2,0,2,0,0,0,0
"Joe Ranger","6.00",191,"Mississauga Steelheads",2002-02-12,11,246,292,0.842,32.76,46,5.16,0,2,6,1,7,0,0,0,0
"Christian Sbaraglia","6.01",190,"Niagara IceDogs",2001-05-11,24,758,864,0.877,42.3,106,5.19,0,3,13,2,15,1,1,0,5
"Cameron Lamour","6.02",153,"North Bay Battalion",2000-07-01,16,422,505,0.836,34.21,83,5.62,0,3,8,3,11,0,0,0,4
"Matt Tovell","6.03",191,"Windsor Spitfires",2002-01-24,2,17,21,0.81,31.46,4,5.99,0,0,0,0,0,0,0,0,0
"Christian Cicigoi","6.00",178,"North Bay Battalion",2001-07-06,7,206,246,0.837,38.35,40,6.24,0,0,7,0,7,0,0,0,0
"Josh Rosenzweig","6.03",185,"Niagara IceDogs",2003-02-27,4,118,142,0.831,41.28,24,6.98,0,2,2,0,2,0,0,0,0
"Matteo Drobac","6.02",199,"Hamilton Bulldogs",2003-08-07,2,52,66,0.788,33.14,14,7.03,0,0,2,0,2,0,0,0,2
"Reece Proulx","5.11",171,"North Bay Battalion",2002-06-06,2,34,47,0.723,37.78,13,10.45,0,0,1,0,1,0,0,0,2
"Nolan Dekoning","5.10",180,"Sarnia Sting",2001-05-03,1,1,2,0.5,25.26,1,12.63,0,0,0,0,0,0,0,0,0
"Tanner Wickware","6.04",191,"Guelph Storm",2001-02-15,2,25,28,0.893,42,3,4.5,0,0,0,0,0,0,0,0,0
"Brendan Bonello","6.01",206,"Kingston Frontenacs",1999-04-01,12,290,338,0.858,34.93,48,4.96,0,1,7,2,9,1,0,1,0
