"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Ryan MacDonald","5.09",183,"London Knights",1985-04-29,38,963,1038,0.928,28.5,75,2.06,2,28,5,0,5,0,0,0,4
"Gerald Coleman","6.04",190,"London Knights",1985-04-03,33,919,987,0.931,31.99,68,2.2,5,24,6,2,8,0,0,0,2
"Paulo Colaiacovo","6.01",200,"Barrie Colts",1983-01-27,58,1583,1714,0.924,30.65,131,2.34,4,24,17,4,21,0,0,0,0
"Danny Battochio","5.10",175,"Ottawa 67's",1985-12-21,15,408,439,0.929,33.2,31,2.34,1,6,4,0,4,0,0,0,0
"Michael Lalande","6.02",220,"Sarnia Sting",1986-05-20,4,33,36,0.917,28.7,3,2.39,0,0,1,0,1,0,0,0,0
"Josh Sturrock","6.01",179,"Owen Sound Attack",1985-07-09,1,13,14,0.929,33.6,1,2.4,0,0,0,0,0,0,0,0,0
"Thomas Lee","6.02",195,"Barrie Colts",1984-09-01,4,48,53,0.906,26.26,5,2.48,0,1,1,0,1,0,0,0,0
"Adam Dennis","6.00",175,"Guelph Storm",1985-02-08,46,1080,1191,0.907,26.85,111,2.5,3,33,10,0,10,0,0,0,6
"Doug Groenestege","6.02",200,"Mississauga IceDogs",1984-01-11,27,683,749,0.912,28.85,66,2.54,0,14,6,1,7,0,0,0,4
"Justin Peters","6.02",210,"Toronto St. Michael's Majors",1986-08-30,53,1406,1545,0.91,29.44,139,2.65,4,30,14,2,16,0,0,0,15
"Danny Taylor","6.01",185,"Guelph Storm",1986-04-28,26,597,663,0.9,27.23,66,2.71,0,16,4,0,4,0,0,0,4
"Dan LaCosta","6.03",195,"Owen Sound Attack",1986-03-28,37,818,900,0.909,29.84,82,2.72,4,17,9,1,10,0,0,0,0
"Ryan Nie","6.00",165,"Plymouth Whalers",1985-04-15,20,444,488,0.91,30.18,44,2.72,1,8,5,1,6,0,0,0,2
"Dayne Davis","6.00",230,"Kingston Frontenacs",1985-03-26,26,693,756,0.917,33.21,63,2.77,1,10,8,0,8,0,0,0,0
"Dan Turple","6.05",230,"Oshawa Generals",1985-01-01,44,1183,1293,0.915,32.64,110,2.78,2,24,11,0,11,0,0,0,0
"Josh Disher","6.01",171,"Erie Otters",1985-06-24,63,1621,1789,0.906,30.46,168,2.86,5,26,22,5,27,0,0,0,2
"Patrick Ehelechner","6.02",184,"Sudbury Wolves",1984-09-23,56,1597,1745,0.915,33.9,148,2.88,3,22,23,3,26,0,0,0,2
"Jeff Weber","6.02",185,"Barrie Colts",1984-09-24,26,636,700,0.909,31.53,64,2.88,2,8,7,0,7,0,0,0,0
"David Shantz","6.01",190,"Mississauga IceDogs",1986-05-05,43,1227,1347,0.911,32.55,120,2.9,1,21,15,3,18,0,0,0,2
"Michael Ouzas","5.10",189,"Toronto St. Michael's Majors",1985-08-30,19,428,475,0.901,29.38,47,2.91,0,8,7,0,7,0,0,0,0
"Paul Drew","5.10",199,"Plymouth Whalers",1983-11-20,43,1297,1419,0.914,34.05,122,2.93,0,22,15,2,17,0,0,0,22
"Kevin Druce","5.11",190,"Sault Ste. Marie Greyhounds",1984-02-10,49,1386,1524,0.909,32.54,138,2.95,1,21,25,1,26,0,0,0,14
"John Ceci","5.11",165,"Sarnia Sting",1983-08-19,10,232,258,0.899,29.45,26,2.97,2,6,3,0,3,0,0,0,0
"Ryan Munce","6.02",177,"Sarnia Sting",1985-04-16,54,1648,1806,0.913,34.3,158,3,2,28,18,3,21,0,0,0,6
"K.J. Robinson","5.09",182,"London Knights",1985-11-09,1,27,30,0.9,30,3,3,0,1,0,0,0,0,0,0,0
"Matt Anthony","5.09",175,"Windsor Spitfires",1984-03-18,54,1366,1512,0.903,31.08,146,3,3,23,21,5,26,0,0,0,0
"Daren Machesney","6.00",177,"Brampton Battalion",1986-12-13,5,175,190,0.921,38.04,15,3,0,3,2,0,2,0,0,0,0
"Anthony Guadagnolo","5.11",185,"Ottawa 67's",1986-01-27,8,214,235,0.911,33.64,21,3.01,0,5,3,0,3,0,0,0,0
"Kevin Couture","5.10",182,"Brampton Battalion",1985-03-17,37,985,1092,0.902,31.26,107,3.06,1,14,15,0,15,0,0,0,7
"Ryan Gibb","6.00",180,"Oshawa Generals",1985-06-29,33,858,952,0.901,31.89,94,3.15,0,9,17,1,18,0,0,0,2
"Robert Gherson","6.01",175,"Owen Sound Attack",1983-10-08,44,1058,1177,0.899,31.34,119,3.17,1,12,17,4,21,0,0,0,6
"Tyson Kellerman","6.02",185,"Brampton Battalion",1984-01-18,32,825,909,0.908,34.35,84,3.17,0,11,11,1,12,0,0,0,2
"Jhase Sniderman","6.00",189,"Erie Otters",1987-04-03,9,174,198,0.879,26.5,24,3.21,0,3,2,2,4,0,0,0,0
"Mike Brown","6.00",207,"Saginaw Spirit",1985-03-04,51,1457,1613,0.903,33.54,156,3.24,4,14,29,3,32,0,0,0,20
"Carlo DiRienzo","6.00",188,"Kitchener Rangers",1986-02-10,42,1027,1149,0.894,30.83,122,3.27,0,18,14,1,15,0,0,0,2
"Chris Beckford-Tseu","6.03",195,"Kingston Frontenacs",1984-06-22,49,1455,1604,0.907,35.38,149,3.29,3,17,21,3,24,0,0,0,6
"Eric Pfligler","5.07",185,"Saginaw Spirit",1985-05-22,26,615,681,0.903,33.91,66,3.29,0,2,16,1,17,0,0,0,2
"John Barrow","6.00",185,"Sarnia Sting",1984-05-10,8,206,228,0.904,34.22,22,3.3,0,4,2,0,2,0,0,0,2
"Lukas Mensator","5.10",180,"Ottawa 67's",1984-08-18,50,1547,1710,0.905,35.1,163,3.35,0,18,19,4,23,0,0,0,8
"Kyle Knechtel","5.11",192,"Windsor Spitfires",1986-12-23,21,507,574,0.883,28.69,67,3.35,0,4,9,3,12,0,0,0,0
"Matt Iorianni","6.02",220,"Peterborough Petes",1984-06-26,42,1122,1254,0.895,32.4,132,3.41,2,15,20,2,22,0,0,0,0
"Jeff MacDougald","6.01",190,"Peterborough Petes",1985-01-24,33,795,898,0.885,30.02,103,3.44,0,7,20,1,21,0,0,0,0
"Jakub Cech","6.01",175,"Sault Ste. Marie Greyhounds",1985-09-13,25,703,778,0.904,36.12,75,3.48,0,9,9,0,9,0,0,0,0
"Brad Topping","6.01",198,"Kitchener Rangers",1984-06-05,38,907,1020,0.889,31.54,113,3.49,0,12,16,1,17,0,0,0,4
"Kevin Beech","6.04",177,"Sudbury Wolves",1986-09-23,16,435,483,0.901,35.77,48,3.56,0,3,7,2,9,0,0,0,0
"Joey Biasucci","6.00",192,"Kitchener Rangers",1984-04-07,1,18,20,0.9,35.59,2,3.56,0,1,0,0,0,0,0,0,0
