"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Charlie Graham","6.00",179,"Belleville Bulls",1995-06-30,1,8,8,1,24,0,0,0,0,0,0,0,0,0,0,0
"Brandon Hope","6.01",196,"Owen Sound Attack",1994-03-18,1,23,23,1,38.05,0,0,0,0,0,0,0,0,0,0,0
"Michael Nishi","6.01",165,"Guelph Storm",1993-11-01,2,15,15,1,38.93,0,0,0,0,0,0,0,0,0,0,0
"Nikita Serebryakov","6.00",175,"Saginaw Spirit",1995-11-01,2,16,16,1,28,0,0,0,0,0,0,0,0,0,0,0
"Matt Mahalak","6.02",186,"Plymouth Whalers",1993-01-22,2,30,31,0.968,29.51,1,0.95,0,0,1,0,1,0,0,0,0
"Jake Smith","5.11",187,"Brampton Battalion",1995-05-01,2,46,49,0.939,23.93,3,1.46,0,0,0,2,2,0,0,0,0
"Malcolm Subban","6.02",201,"Belleville Bulls",1993-12-21,17,477,511,0.933,30.02,34,2,3,11,4,2,6,0,0,0,0
"Alex Fotinos","6.00",181,"Barrie Colts",1995-01-02,2,10,11,0.909,22.62,1,2.06,0,0,0,1,1,0,0,0,0
"John Gibson","6.03",208,"Kitchener Rangers",1993-07-14,10,384,406,0.946,40.01,22,2.17,1,5,4,1,5,0,0,0,4
"Anthony Stolarz","6.06",220,"London Knights",1994-01-20,18,562,609,0.923,32.76,47,2.53,1,13,4,1,5,0,0,0,0
"Mathias Niederberger","5.11",171,"Barrie Colts",1992-11-26,22,734,791,0.928,36.14,57,2.6,2,15,6,0,6,0,0,0,2
"Matt Murray","6.05",171,"Sault Ste. Marie Greyhounds",1994-05-25,6,171,188,0.91,29.57,17,2.67,1,2,3,1,4,0,0,0,0
"Alex Nedeljkovic","6.00",190,"Plymouth Whalers",1996-01-07,15,386,425,0.908,29.53,39,2.71,1,9,4,1,5,0,0,0,0
"Jordan Binnington","6.02",169,"Owen Sound Attack",1993-07-11,12,362,395,0.916,33.61,33,2.81,0,6,5,1,6,0,0,0,2
"Tyson Teichmann","6.00",146,"Mississauga Steelheads",1993-05-19,5,131,144,0.91,32.02,13,2.89,0,2,3,0,3,0,0,0,0
"Daniel Altshuller","6.03",200,"Oshawa Generals",1994-07-24,9,234,261,0.897,28.96,27,3,0,4,4,1,5,0,0,0,0
"Garret Sparks","6.02",213,"Guelph Storm",1993-06-28,5,161,175,0.92,38.12,14,3.05,0,1,4,0,4,0,0,0,0
"Christopher Festarini","6.02",191,"Niagara IceDogs",1993-06-03,5,156,172,0.907,34.43,16,3.2,0,1,4,0,4,0,0,0,0
"Jake Patterson","6.01",191,"London Knights",1994-06-18,4,94,106,0.887,29.27,12,3.31,0,3,0,0,0,0,0,0,0
"Franky Palazzese","6.01",160,"Sudbury Wolves",1993-05-28,9,279,310,0.9,33.17,31,3.32,1,4,5,0,5,0,0,0,2
"Matej Machovsky","6.02",186,"Brampton Battalion",1993-07-25,4,44,55,0.8,16.73,11,3.35,0,1,2,0,2,0,0,0,0
"Colin Furlong","6.01",165,"Kingston Frontenacs",1993-03-24,2,22,26,0.846,29.2,4,4.49,0,0,0,0,0,0,0,0,0
"Mike Morrison","6.00",180,"Kingston Frontenacs",1992-11-07,4,99,115,0.861,37,16,5.15,0,0,4,0,4,0,0,0,0
"Jake Paterson","6.01",183,"Saginaw Spirit",1994-05-03,4,129,150,0.86,38.31,21,5.36,0,0,3,1,4,0,0,0,0
"Spencer Martin","6.03",204,"Mississauga Steelheads",1995-06-08,2,37,46,0.804,30.71,9,6.01,0,0,1,0,1,0,0,0,0
"JP Anderson","6.00",195,"Sarnia Sting",1992-04-27,4,154,178,0.865,44.62,24,6.02,0,0,4,0,4,0,0,0,0
