"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Aidan Hughes","6.04",224,"Oshawa Generals",1999-04-10,1,6,6,1,41.22,0,0,0,0,0,0,0,0,0,0,0
"Michael DiPietro","6.00",205,"Ottawa 67's",1999-06-09,14,350,383,0.914,27.24,33,2.35,1,13,0,0,0,0,0,0,0
"Stephen Dhillon","6.05",203,"Niagara IceDogs",1998-09-14,11,262,288,0.91,26.18,26,2.36,3,6,5,0,5,0,0,0,4
"Ivan Prosvetov","6.05",180,"Saginaw Spirit",1999-03-05,12,371,399,0.93,33.85,28,2.38,1,9,2,0,2,0,0,0,0
"Jordan Kooy","6.03",196,"London Knights",2000-04-30,11,270,299,0.903,27.38,29,2.66,2,7,4,0,4,0,0,0,0
"Kyle Keyser","6.02",186,"Oshawa Generals",1999-03-08,15,518,560,0.925,37.68,42,2.83,1,8,5,2,7,0,0,0,2
"Lucas Pfeil","6.01",192,"Kitchener Rangers",2000-05-14,1,8,9,0.889,27,1,3,0,0,0,0,0,0,0,0,0
"Tristan Lennox","6.03",200,"Saginaw Spirit",2002-10-21,7,173,190,0.911,34.8,17,3.11,0,2,4,0,4,0,0,0,0
"Anthony Popovich","6.02",197,"Guelph Storm",1999-08-01,24,617,690,0.894,29.49,73,3.12,2,16,7,1,8,0,0,0,0
"Ukko-Pekka Luukkonen","6.05",214,"Sudbury Wolves",1999-03-09,8,270,298,0.906,34.82,28,3.27,0,4,2,1,3,0,0,0,0
"Matthew Villalta","6.04",186,"Sault Ste. Marie Greyhounds",1999-06-03,11,277,313,0.885,29.8,36,3.43,1,6,4,1,5,0,0,0,2
"Christian Propp","6.02",192,"North Bay Battalion",1999-03-27,5,234,252,0.929,51.07,18,3.65,0,1,4,0,4,0,0,0,0
"Jacob Ingham","6.04.",198,"Mississauga Steelheads",2000-06-10,4,117,132,0.886,32.42,15,3.68,0,0,3,1,4,0,0,0,0
"Kari Piiroinen","6.01",176,"Windsor Spitfires",2001-07-01,2,45,53,0.849,26.79,8,4.04,0,0,2,0,2,0,0,0,0
"Mack Guzda","6.05",205,"Owen Sound Attack",2001-01-11,5,151,173,0.873,33.38,22,4.25,0,1,4,0,4,0,0,0,0
"Colton Incze","6.02",210,"Windsor Spitfires",1999-01-31,2,55,64,0.859,32.31,9,4.54,0,0,2,0,2,0,0,0,0
"Hunter Jones","6.04.",198,"Peterborough Petes",2000-09-21,5,119,138,0.862,33.81,19,4.66,0,1,4,0,4,0,0,0,2
"Ethan Taylor","6.01",186,"Sault Ste. Marie Greyhounds",2001-08-13,1,18,21,0.857,33.01,3,4.72,0,0,0,0,0,0,0,0,0
"Nico Daws","6.04",202,"Guelph Storm",2000-12-22,2,12,15,0.8,24.03,3,4.81,0,0,0,0,0,0,0,0,0
"Cameron Lamour","6.02",153,"Sarnia Sting",2000-07-01,3,55,62,0.887,43.03,7,4.86,0,0,0,1,1,0,0,0,2
"Luke Richardson","6.03.",174,"Kitchener Rangers",1999-05-28,4,123,141,0.872,39.18,18,5,0,0,4,0,4,0,0,0,0
"Ethan Langevin","5.10",180,"Sarnia Sting",2001-05-25,3,82,96,0.854,35.13,14,5.12,0,0,3,0,3,0,0,0,0
"Cedrick Andree","5.10",169,"Ottawa 67's",2000-06-07,5,130,154,0.844,33.07,24,5.15,0,1,4,0,4,0,0,0,0
"Zachary Roy","5.11",175,"Hamilton Bulldogs",2001-02-09,4,122,145,0.841,36.41,23,5.78,0,0,4,0,4,0,0,0,0
"Tye Austin","6.06",200,"Peterborough Petes",2002-05-28,1,22,27,0.815,31.48,5,5.83,0,0,0,0,0,0,0,0,0
"Jonathan Lemaire","6.06",212,"Sudbury Wolves",2002-10-15,1,15,18,0.833,46.96,3,7.83,0,0,1,0,1,0,0,0,0
