"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Noah Read",2007-01-06,"LW","London Knights",17,4,2,6,0.35,3,0,0,0,0,9
"Brooks Rogowski",2008-06-24,"RW","Oshawa Generals",19,3,3,6,0.32,-6,0,0,0,0,0
"Cameron Arquette",2007-04-27,"RW","Kitchener Rangers",16,1,4,5,0.31,2,1,0,0,0,2
"Ethan Garden",2008-04-13,"LW","Windsor Spitfires",12,1,4,5,0.42,0,0,0,0,0,6
"Carter Hicks",2008-02-20,"D","Windsor Spitfires",12,2,2,4,0.33,2,0,2,1,0,6
"Nikolas Rossetto",2008-08-02,"RW","Brantford Bulldogs",11,1,3,4,0.36,1,0,0,0,0,2
"Carson Harmer",2007-01-13,"C","Saginaw Spirit",5,2,1,3,0.6,-2,0,0,0,0,0
"Andrew Robinson",2008-01-08,"D","Windsor Spitfires",12,1,2,3,0.25,0,0,0,0,0,0
"Braidy Wassilyn",2008-05-28,"LW","Niagara IceDogs",5,1,2,3,0.6,-2,0,1,0,0,4
"Jacob Cloutier",2007-03-22,"RW","Saginaw Spirit",3,1,2,3,1,1,1,0,0,0,2
"Kieren Dervin",2007-03-31,"C","Kingston Frontenacs",11,1,2,3,0.27,1,0,1,0,0,2
"Chase Reid",2007-12-30,"D","Soo Greyhounds",5,0,3,3,0.6,-1,0,2,0,0,2
"Dima Zhilkin",2008-10-21,"RW","Saginaw Spirit",5,0,3,3,0.6,-2,0,1,0,0,4
"Graydon Jones",2007-01-01,"D","Saginaw Spirit",5,0,3,3,0.6,-2,0,0,0,0,0
"Haoxi Wang",2007-07-27,"D","Oshawa Generals",21,0,3,3,0.14,3,0,0,0,0,8
"Carson Andrew",2008-03-10,"RW","Soo Greyhounds",5,1,1,2,0.4,-4,0,1,0,0,2
"Pierce Mbuyi",2008-04-17,"LW","Owen Sound Attack",4,1,1,2,0.5,-7,1,1,0,0,2
"Tyler Challenger",2008-04-13,"C","Erie Otters",9,0,2,2,0.22,-1,0,0,0,0,6
"Blake Arrowsmith",2007-04-17,"RW","Niagara IceDogs",5,1,0,1,0.2,-1,0,0,0,0,2
"Brady Smith",2007-04-12,"C","Soo Greyhounds",5,1,0,1,0.2,-1,0,0,0,0,6
"Ethan Weir",2007-01-10,"RW","Saginaw Spirit",5,1,0,1,0.2,-1,0,0,0,0,0
"Hayden Barch",2007-04-14,"D","Saginaw Spirit",5,1,0,1,0.2,-2,0,0,0,0,4
"Aidan Lane",2007-02-04,"RW","Brampton Steelheads",6,0,1,1,0.17,-2,0,0,0,0,2
"Aiden O'Donnell",2008-01-03,"LW","Brantford Bulldogs",11,0,1,1,0.09,-1,0,0,0,0,5
"Jack D'Arcy",2007-12-02,"D","Flint Firebirds",5,0,1,1,0.2,-2,0,0,0,0,2
"Jacob Xu",2008-03-13,"LD","Kitchener Rangers",13,0,1,1,0.08,-2,0,0,0,0,6
