"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Drew Pegrum","6.00",165,"Guelph Storm",1991-01-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malcolm Subban","6.02",201,"Belleville Bulls",1993-12-21,1,2,2,1,9.36,0,0,0,0,0,0,0,0,0,0,0
"James Prigione","5.10",150,"Guelph Storm",1991-05-13,2,32,35,0.914,25.21,3,2.16,0,1,0,0,0,0,0,0,0
"Mavric Parks","6.00",191,"Barrie Colts",1990-05-07,33,992,1067,0.93,33.34,75,2.34,2,25,5,1,6,1,0,1,4
"Chris Carrozzi","6.02",185,"Mississauga St. Michael's Majors",1990-03-02,37,897,979,0.916,28.12,82,2.36,5,19,10,3,13,5,3,2,0
"Patrick Killeen","6.04",204,"Brampton Battalion",1990-04-15,63,1558,1707,0.913,27.73,149,2.42,5,23,25,6,31,10,3,7,24
"Jacob Riley","6.01",170,"Brampton Battalion",1993-03-18,10,168,187,0.898,25.2,19,2.56,1,2,4,1,5,0,0,0,2
"JP Anderson","6.00",195,"Mississauga St. Michael's Majors",1992-04-27,36,787,875,0.899,25.89,88,2.6,2,23,10,1,11,1,1,0,2
"Matt Hackett","6.03",170,"Plymouth Whalers",1990-03-07,56,1710,1848,0.925,35.03,138,2.62,4,33,18,1,19,2,0,2,10
"Peter Di Salvo","6.00",196,"Barrie Colts",1990-11-14,50,1366,1493,0.915,32.17,127,2.74,2,38,6,0,6,2,1,1,6
"Dalton McGrath","6.01",185,"Barrie Colts",1991-11-04,9,251,274,0.916,33.09,23,2.78,0,8,1,0,1,0,0,0,0
"Troy Passingham","6.04",223,"Windsor Spitfires",1990-11-17,50,1211,1343,0.902,28.29,132,2.78,3,35,10,0,10,6,3,3,0
"Robin Lehner","6.04",224,"Sault Ste. Marie Greyhounds",1991-07-24,47,1337,1457,0.918,33.97,120,2.8,5,27,13,0,13,4,1,3,15
"Michael Hutchinson","6.03",185,"London Knights",1990-03-02,46,1339,1466,0.913,32.99,127,2.86,3,32,12,1,13,3,2,1,0
"Philipp Grubauer","6.00",170,"Windsor Spitfires",1991-11-25,50,1336,1466,0.911,32.24,130,2.86,2,23,15,2,17,7,2,5,0
"Mark Visentin","6.02",201,"Niagara IceDogs",1992-08-07,55,1637,1797,0.911,33.6,160,2.99,0,24,26,0,26,7,2,5,8
"Petr Mrazek","6.01",184,"Ottawa 67's",1992-02-14,30,744,822,0.905,31.57,78,3,3,12,9,0,9,2,1,1,0
"John Cullen","5.11",175,"Kingston Frontenacs",1991-04-20,16,307,334,0.919,37.51,27,3.03,0,4,3,0,3,1,0,1,2
"Brandon Foote","6.00",183,"Guelph Storm",1991-04-26,29,924,1012,0.913,35.26,88,3.07,1,20,8,1,9,1,1,0,2
"Chris Perugini","5.11",152,"Ottawa 67's",1991-02-06,46,1244,1375,0.905,32.23,131,3.07,4,25,14,5,19,4,2,2,0
"Michael Houser","6.02",192,"London Knights",1992-09-13,25,674,749,0.9,30.99,75,3.1,0,17,4,0,4,4,3,1,2
"Edward Pasquale","6.02",216,"Saginaw Spirit",1990-11-20,51,1677,1830,0.916,37.89,153,3.17,1,27,17,2,19,4,1,3,4
"Bryce O'Hagan","6.02",192,"Sault Ste. Marie Greyhounds",1991-12-27,28,666,749,0.889,29.2,83,3.24,1,9,14,1,15,2,1,1,0
"Adam Courchaine","6.03",185,"Erie Otters",1989-02-20,48,1420,1567,0.906,34.57,147,3.24,3,20,24,1,25,6,5,1,0
"Scott Wedgewood","6.01",187,"Plymouth Whalers",1992-08-14,18,507,558,0.909,35.69,51,3.26,1,5,9,0,9,2,2,0,0
"Mike Morrison","6.00",180,"Kitchener Rangers",1992-11-07,11,310,346,0.896,32.04,36,3.33,0,6,2,1,3,3,2,1,0
"Andrew Loverock","6.03",189,"Sudbury Wolves",1989-07-29,41,1125,1247,0.902,35.9,122,3.51,1,15,17,3,20,4,2,2,0
"Tyler Beskorowany","6.05",204,"Kingston Frontenacs",1990-04-28,62,1898,2101,0.903,36.42,203,3.52,1,29,25,2,27,4,2,2,4
"Anthony Peters","6.01",196,"Belleville Bulls",1990-12-31,31,887,988,0.898,35.27,101,3.61,1,8,18,3,21,1,1,0,2
"Tadeas Galansky","6.04",212,"Saginaw Spirit",1992-12-29,8,303,331,0.915,43.29,28,3.66,1,3,4,0,4,0,0,0,2
"Scott Stajcer","6.03",196,"Owen Sound Attack",1991-06-14,55,1620,1806,0.897,35.62,186,3.67,1,21,23,3,26,3,0,3,2
"Jason Missiaen","6.08",220,"Peterborough Petes",1990-05-25,59,1875,2081,0.901,37.18,206,3.68,1,27,29,1,30,6,4,2,4
"Brandon Maxwell","6.01",199,"Kitchener Rangers",1991-03-22,41,1336,1483,0.901,37.67,147,3.73,1,22,14,2,16,3,1,2,4
"Cody St. Jacques","5.11",180,"Guelph Storm",1990-05-14,26,811,903,0.898,37.58,92,3.83,0,9,14,2,16,0,0,0,4
"John Chartrand","6.01",180,"Niagara IceDogs",1993-07-07,7,165,188,0.878,31.41,23,3.84,0,1,4,0,4,0,0,0,0
"Alain Valiquette","6.03",186,"Sudbury Wolves",1990-12-21,40,1100,1231,0.894,36.27,131,3.86,3,11,18,1,19,3,2,1,2
"Jordan Gladwish","5.10",190,"Sarnia Sting",1991-01-14,2,12,14,0.857,27.56,2,3.94,0,0,0,0,0,0,0,0,0
"Ramis Sadikov","6.04",225,"Erie Otters",1991-02-26,25,719,808,0.89,36.54,89,4.02,0,9,10,1,11,5,3,2,13
"Michael Zador","6.02",173,"Oshawa Generals",1991-05-08,49,1353,1531,0.884,35.69,178,4.15,2,14,28,2,30,5,4,1,0
"Tyson Teichmann","6.00",146,"Belleville Bulls",1993-05-19,30,729,833,0.875,34.35,104,4.29,0,6,14,0,14,2,0,2,2
"Jordan Binnington","6.02",169,"Owen Sound Attack",1993-07-11,22,627,705,0.889,39.6,78,4.38,0,6,10,1,11,3,2,1,2
"Kevin Bailie","6.03",195,"Oshawa Generals",1992-01-03,34,786,902,0.871,34.3,116,4.41,0,10,11,1,12,6,5,1,2
"Matt Hoyle","6.02",209,"Guelph Storm",1990-04-20,16,467,530,0.881,37.35,63,4.44,0,5,7,0,7,3,2,1,0
"Andrew D'Agostini","5.11",180,"Peterborough Petes",1993-03-26,17,357,413,0.864,32.84,56,4.45,0,2,6,0,6,1,0,1,0
"Shayne Campbell","6.02",190,"Sarnia Sting",1992-11-16,40,1078,1238,0.871,34.69,160,4.48,1,8,25,2,27,2,1,1,4
"Jesse Raymond","6.01",170,"Sarnia Sting",1991-02-05,9,204,239,0.854,34.87,35,5.11,0,1,5,0,5,0,0,0,0
"Adam Wood","6.04",180,"Erie Otters",1993-07-15,2,52,64,0.813,32,12,6,0,2,0,0,0,0,0,0,0
"Franky Palazzese","6.01",160,"Kingston Frontenacs",1993-05-28,2,59,72,0.819,36,13,6.5,0,0,2,0,2,0,0,0,0
"Christopher Festarini","6.02",191,"Erie Otters",1993-06-03,1,16,21,0.762,51.43,5,12.24,0,0,0,0,0,0,0,0,0
"Jaroslav Janus","6.00",190,"Erie Otters",1989-09-21,13,402,438,0.918,34.14,36,2.81,0,7,4,2,6,0,0,0,2
"Michael Nishi","6.01",165,"Windsor Spitfires",1993-11-01,4,62,72,0.861,20.49,10,2.85,0,2,0,0,0,1,0,1,0
"Petteri Simila","6.05",195,"Niagara IceDogs",1990-04-09,11,312,350,0.891,38.16,38,4.14,0,1,4,2,6,1,0,1,0
"Shane Owen","6.01",190,"Erie Otters",1990-06-04,12,361,410,0.88,36.09,49,4.31,0,3,6,2,8,0,0,0,0
"Josh Unice","6.00",176,"Windsor Spitfires",1989-06-24,3,20,29,0.69,33.1,9,10.27,0,0,1,0,1,0,0,0,0
