"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Mike Murphy","5.11",165,"Belleville Bulls",1989-01-15,49,1447,1557,0.929,31.75,110,2.24,3,36,7,3,10,2,1,1,2
"Kyle Gajewski","5.11",162,"Sault Ste. Marie Greyhounds",1987-03-29,60,1515,1660,0.913,27.96,145,2.44,3,39,16,1,17,5,2,3,2
"Josh Unice","6.00",176,"Kitchener Rangers",1989-06-24,42,957,1054,0.908,26.62,97,2.45,4,30,6,1,7,2,0,2,0
"Thomas McCollum","6.02",208,"Guelph Storm",1989-12-07,51,1310,1434,0.914,28.89,124,2.5,4,25,17,3,20,6,3,3,6
"Steve Mason","6.03",190,"Kitchener Rangers",1988-05-29,42,1157,1263,0.916,29.95,106,2.51,3,32,7,1,8,5,3,2,0
"Bryan Pitton","6.02",176,"Brampton Battalion",1988-01-26,39,926,1017,0.911,28.34,91,2.54,4,22,13,1,14,3,2,1,4
"Andrew Engelage","6.05",206,"Windsor Spitfires",1988-10-28,40,985,1085,0.908,27.89,100,2.57,2,20,10,4,14,5,1,4,10
"Bryce O'Hagan","6.02",192,"Sault Ste. Marie Greyhounds",1991-12-27,6,113,128,0.883,23.06,15,2.7,1,3,1,1,2,0,0,0,2
"Chris Carrozzi","6.02",185,"Mississauga St. Michael's Majors",1990-03-02,47,1170,1285,0.911,30.78,115,2.75,4,25,18,2,20,3,3,0,4
"Patrick Killeen","6.04",204,"Brampton Battalion",1990-04-15,34,886,976,0.908,29.9,90,2.76,1,20,9,0,9,4,2,2,4
"Jeremy Smith","6.00",170,"Plymouth Whalers",1989-04-13,40,1347,1463,0.921,36.11,116,2.86,3,23,13,1,14,8,5,3,4
"Cody St. Jacques","5.11",180,"Guelph Storm",1990-05-14,22,480,535,0.897,28,55,2.88,2,9,8,2,10,1,0,1,2
"Peter Di Salvo","6.00",196,"Barrie Colts",1990-11-14,20,498,551,0.904,30.09,53,2.89,0,7,10,0,10,1,1,0,0
"Adrian Volpe","6.00",167,"Niagara IceDogs",1990-06-26,7,160,176,0.909,32.56,16,2.96,0,4,1,0,1,0,0,0,0
