"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Marco Costantini","6.01",185,"Hamilton Bulldogs",2002-08-04,45,1142,1245,0.917,28.01,103,2.32,6,31,9,2,11,4,2,2,0
"Joe Ranger","6.00",191,"Mississauga Steelheads",2002-02-12,29,673,739,0.911,28.43,66,2.54,4,16,9,1,10,0,0,0,0
"Matteo Drobac","6.02",199,"Hamilton Bulldogs",2003-08-07,23,532,588,0.905,26.93,56,2.57,1,19,2,1,3,2,2,0,0
"Dom DiVincentiis","6.03",200,"North Bay Battalion",2004-03-04,27,622,686,0.907,27.8,64,2.59,0,14,8,0,8,1,0,1,4
"Roman Basran","6.02",192,"Mississauga Steelheads",2001-07-26,45,949,1059,0.896,25.01,110,2.6,2,21,14,1,15,7,1,6,2
"Mack Guzda","6.05",205,"Barrie Colts",2001-01-11,41,1143,1249,0.915,31.62,106,2.68,2,25,13,2,15,3,2,1,0
"Brett Brochu","6.00",176,"London Knights",2002-09-09,43,1173,1288,0.911,30.78,115,2.75,2,29,11,2,13,4,4,0,8
"Max Donoso","6.01",185,"Ottawa 67's",2003-06-11,27,673,743,0.906,29.9,70,2.82,1,11,9,1,10,7,2,5,0
"Joe Vrbetic","6.06",186,"North Bay Battalion",2002-10-24,45,1216,1342,0.906,30.6,126,2.87,2,29,10,3,13,6,3,3,4
"Jacob Oster","6.03",190,"Guelph Storm",2004-03-26,34,741,831,0.892,27.03,90,2.93,0,16,8,3,11,2,1,1,0
"Nick Chenard","6.04",212,"Owen Sound Attack",2002-03-29,45,1148,1274,0.901,30.44,126,3.01,3,24,13,4,17,3,2,1,0
"Xavier Medina","6.00",174,"Windsor Spitfires",2002-01-20,30,703,789,0.891,27.95,86,3.05,0,18,8,1,9,4,2,2,0
"Luke Cavallin","6.02",196,"Flint Firebirds",2001-04-29,56,1740,1913,0.91,34.9,173,3.16,2,36,14,1,15,4,1,3,13
"Patrick Leaver","6.01",181,"Oshawa Generals",2003-09-04,49,1473,1623,0.908,34.62,150,3.2,2,22,19,2,21,8,5,3,4
"Tristan Lennox","6.03",200,"Saginaw Spirit",2002-10-21,28,656,739,0.888,28.53,83,3.2,0,7,20,0,20,0,0,0,6
"Zachary Paputsakis","6.03",196,"Oshawa Generals",2001-11-08,24,629,694,0.906,34.44,65,3.23,0,7,11,0,11,2,0,2,0
"Aidan Campbell","6.05",203,"Erie Otters",2002-08-22,5,103,118,0.873,25.88,15,3.29,0,1,3,0,3,0,0,0,0
"Leevi Meriläinen","6.02",160,"Kingston Frontenacs",2002-08-13,53,1384,1553,0.891,30.24,169,3.29,2,31,16,4,20,5,4,1,0
"Mathias Onuska","6.03",180,"Windsor Spitfires",2002-05-30,29,680,769,0.884,28.63,89,3.31,0,19,5,1,6,1,0,1,0
"Owen Bennett","6.03",202,"Guelph Storm",2002-04-11,41,867,995,0.871,26.44,128,3.4,3,20,16,2,18,3,1,2,0
"Charlie Schenkel","6.05.",203,"Soo Greyhounds",2004-08-16,7,86,102,0.843,22.37,16,3.51,0,2,3,0,3,0,0,0,0
"Samuel Ivanov","6.04",177,"Soo Greyhounds",2003-01-02,35,756,864,0.875,28.07,108,3.51,1,20,9,0,9,0,0,0,0
"Tucker Tynan","6.01",180,"Soo Greyhounds",2002-06-07,50,1306,1472,0.887,31.44,166,3.55,1,22,19,6,25,4,3,1,4
"Michael Simpson","6.01",198,"Peterborough Petes",2003-02-09,45,1208,1356,0.891,32.65,148,3.56,1,20,18,3,21,1,0,1,4
"Aidan Spooner","6.05",210,"Kingston Frontenacs",2002-04-30,19,471,532,0.885,31.35,61,3.59,0,10,6,0,6,0,0,0,0
